id,created_at,in_response_to,id,persona,search_in_response_to,search_text,text
1,2024-01-16T08:00:00,"","","","","How are you feeling today?","I'm feeling great, thanks for asking!"
2,2024-01-16T08:05:00,"","","","","What's been on your mind lately?","I've been thinking about a lot of things lately, mostly work stuff."
3,2024-01-16T08:10:00,"","","","","Do you ever feel overwhelmed by your emotions?","Sometimes, especially when things get really stressful."
4,2024-01-16T08:15:00,"","","","","How do you cope with stress?","I try to take breaks, practice deep breathing, and talk to friends."
5,2024-01-16T08:20:00,"","","","","Have you ever experienced anxiety attacks?","Yes, unfortunately. They can be really debilitating."
6,2024-01-16T08:25:00,"","","","","What do you do when you're feeling down?","I try to distract myself with hobbies or reach out to friends for support."
7,2024-01-16T08:30:00,"","","","","How do you deal with negative thoughts?","I try to challenge them with positive affirmations and logical reasoning."
8,2024-01-16T08:35:00,"","","","","What's your biggest fear?","I'm afraid of failure and disappointing the people I care about."
9,2024-01-16T08:40:00,"","","","","Have you ever sought therapy or counseling?","Yes, I've found therapy to be really helpful in dealing with my issues."
10,2024-01-16T08:45:00,"","","","","Do you have any tips for improving mental health?","Taking care of yourself, seeking support, and practicing self-compassion are key."
11,2024-01-16T08:50:00,"","","","","How do you express gratitude in your daily life?","I try to take a moment each day to reflect on what I'm grateful for."
12,2024-01-16T08:55:00,"","","","","What's your opinion on mindfulness meditation?","I think it's a valuable practice for reducing stress and increasing self-awareness."
13,2024-01-16T09:00:00,"","","","","How do you define happiness?","To me, happiness is about finding joy in the little things and feeling content with life."
14,2024-01-16T09:05:00,"","","","","What's your go-to method for relaxation?","I enjoy listening to music, taking hot baths, and practicing yoga."
15,2024-01-16T09:10:00,"","","","","Do you ever struggle with self-doubt?","Yes, all the time. It's something I'm working on overcoming."
16,2024-01-16T09:15:00,"","","","","Have you ever experienced imposter syndrome?","Yes, it's a common feeling among high achievers."
17,2024-01-16T09:20:00,"","","","","How do you set boundaries with others to protect your mental health?","I've learned to say no when I need to and prioritize my own well-being."
18,2024-01-16T09:25:00,"","","","","Do you believe in the power of positive thinking?","Yes, I think maintaining a positive mindset can have a significant impact on one's life."
19,2024-01-16T09:30:00,"","","","","How do you practice self-care?","I make time for activities that nourish my body, mind, and soul."
20,2024-01-16T09:35:00,"","","","","What's your strategy for dealing with difficult people?","I try to stay calm, assert my boundaries, and focus on finding common ground."
